clamp_magnitude,forward,forward_ci95,sideways,sideways_ci95,n_participants,ballistic_fraction,sample_percent,panel,path_type
55.42259414225941,-4.177354485506984,,8.524855529391413,,,0.2,20.0,Human,smoothed_path
56.1255230125523,-4.163225516812198,,8.464129586003047,,,0.2,20.0,Human,smoothed_path
56.82845188284519,-4.151170574886953,,8.40680278502105,,,0.2,20.0,Human,smoothed_path
57.53138075313807,-4.140941819144539,,8.353229753925998,,,0.2,20.0,Human,smoothed_path
58.23430962343096,-4.132307569737275,,8.303721115479082,,,0.2,20.0,Human,smoothed_path
58.93723849372385,-4.125053249802741,,8.258542391205623,,,0.2,20.0,Human,smoothed_path
59.64016736401673,-4.118982146534977,,8.21791325916082,,,0.2,20.0,Human,smoothed_path
60.34309623430962,-4.113915995955946,,8.182007151786838,,,0.2,20.0,Human,smoothed_path
61.046025104602506,-4.109695395656425,,8.150951178598161,,,0.2,20.0,Human,smoothed_path
61.74895397489539,-4.106180049219105,,8.124826357485313,,,0.2,20.0,Human,smoothed_path
