ppid,clamp_magnitude,group,pointer,value
852150209946,105,7,Mouse,9.041782760620118
852626928128,105,7,Mouse,12.90488586425781
876915090018,105,7,Trackpad,52.31857671737671
911029371665,105,7,Mouse,6.330351257324219
914010886568,105,7,Trackpad,20.584946823120116
91524953255,105,7,Trackpad,4.198067474365237
915339582134,105,7,Mouse,9.281420898437498
933626258280,105,7,Mouse,13.565020179748535
94212257303,105,7,Mouse,5.729645919799806
996413567103,105,7,,6.386647542317716
99897861946,105,7,Mouse,-12.74726984500885
119388378225,115,7,Trackpad,3.5524932861328096
142243756214,115,7,Trackpad,-10.426694583892822
154695465695,115,7,Trackpad,-0.8049041748046875
172440417576,115,7,Mouse,4.813484191894529
206032965332,115,7,Trackpad,23.465446472167972
258433481445,115,7,Trackpad,14.398114776611326
270836319308,115,7,Trackpad,-7.5457908630371096
295092569896,115,7,Mouse,32.59162940979004
300018938491,115,7,Mouse,33.22756042480468
314153794897,115,7,Mouse,34.45816497802734
372902434784,115,7,Mouse,6.501153564453119
374362493632,115,7,Trackpad,3.882641220092772
395156049868,115,7,Trackpad,2.686995697021487
412116680061,115,7,Mouse,19.37424488067627
426775530911,115,7,Mouse,17.48381042480469
455411954782,115,7,Mouse,20.38029937744141
482715387130,115,7,Mouse,39.249813842773456
491690849186,115,7,Trackpad,0.1904586791992176
500659405486,115,7,Trackpad,18.345634460449226
515614103525,115,7,Trackpad,20.81392593383789
529356644721,115,7,Mouse,-4.784788131713867
538891392759,115,7,Mouse,-13.36563982963562
588954061502,115,7,Mouse,15.680718231201173
621998446062,115,7,Trackpad,19.022653198242182
624326525488,115,7,Trackpad,-6.623288726806642
630191511008,115,7,Mouse,12.642964172363284
650598146952,115,7,Mouse,26.87814559936523
678681607125,115,7,Trackpad,149.2871871948242
679935650900,115,7,Trackpad,13.166875839233398
69378932239,115,7,Trackpad,-0.6161919593811034
707165035419,115,7,Trackpad,5.70606079101564
709011816186,115,7,Trackpad,2.256104278564453
710075415438,115,7,Trackpad,15.6456787109375
750330077949,115,7,Trackpad,-0.6425300598144537
813273714622,115,7,Mouse,17.559971714019774
826551196165,115,7,Mouse,-5.175955200195307
84703686414,115,7,Mouse,13.665769958496096
850329221459,115,7,Trackpad,10.472095489501957
851634270977,115,7,Mouse,11.481745147705078
852150209946,115,7,Mouse,-3.3802608489990233
852626928128,115,7,Mouse,3.637210845947263
