n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,pointer,clamp_magnitude,n_participants
30,10.265328882733979,31.411708003195987,5.734967014372,-1.4639956517129278,21.994653417180885,7.744677543640135,-3.4942906618118283,17.64018621444702,-33.382560348510744,153.89329147338867,Mouse,130,30
31,0.8613361456701822,17.605428533254937,3.162028309026054,-5.596387175898506,7.319059467238871,1.748659324645996,-3.053269577026369,9.848197984695434,-75.5190669298172,25.8882399559021,Mouse,135,31
27,2.6893337391040943,16.3945941427087,3.1551411138491767,-3.796151703485355,9.174819181693543,-0.5086143493652385,-8.465763759613038,7.5732479095459,-23.046037292480477,43.761801147460936,Mouse,140,27
31,-1.3016462579850219,15.375482487532068,2.7615181759805854,-6.9414187663654054,4.338126250395362,-0.9872598648071286,-8.380309104919434,3.499851036071778,-31.63741569519043,41.79640507698059,Mouse,145,31
27,1.89243179085078,17.183915576531607,3.3070460946141087,-4.905298811577467,8.690162393279026,0.4445709228515567,-12.80996325016022,12.407338964939118,-22.452156829833985,34.892354965209954,Mouse,150,27
31,-0.672522658638416,14.24903110887787,2.5592015358989215,-5.899109465528606,4.554064148251775,-1.1457611083984347,-8.002071619033815,6.326560783386233,-29.2472023010254,35.330646276474,Mouse,155,31
27,-0.9060230214286743,17.90108588750159,3.445065585311885,-7.987456750092695,6.175410707235347,-3.48161315917969,-11.75775032043457,10.332918930053712,-28.34917945861817,36.47678645551205,Mouse,160,27
31,-4.551801717065033,15.456364958881062,2.776045096675894,-10.221242155456318,1.1176387213262515,-8.371983337402337,-11.186604833602905,1.7494876358658067,-29.95677947998047,43.89575424194337,Mouse,165,31
27,-0.8559373829099871,16.171499028664318,3.1122064391330384,-7.253169337681858,5.541294571861884,-0.2383613586425746,-10.2305157661438,7.7871940314769805,-37.79997863769532,35.05112533569336,Mouse,170,27
18,7.733686666273408,15.143863109216968,3.5694427659627044,0.2028207144608558,15.26455261808596,8.367060470581054,-3.579759740829469,16.688594436645506,-15.657340049743652,34.25990295410157,Trackpad,2,18
23,15.920015753352125,32.13467107168671,6.700542109429586,2.023941932249283,29.816089574454967,17.448137283325195,5.931252956390381,32.911198997497564,-95.6780758857727,63.207750701904295,Trackpad,3,23
18,19.318585010245442,21.36473857902997,5.035717175836646,8.694150467102498,29.94301955338839,16.972561240196228,3.085231566429139,29.671498680114745,-12.49229621887207,66.93416271209716,Trackpad,4,18
23,23.481292793025144,16.093389954735432,3.3557037766036717,16.521989106862964,30.440596479187324,21.29500880241394,10.806752109527588,36.472442865371704,0.4770885467529291,52.43056602478028,Trackpad,5,23
18,8.51184293296602,23.206354396628722,5.469790186824808,-3.02840561067676,20.0520914766088,7.5397731304168705,-1.519889163970944,26.111997795104983,-56.16195583343506,38.48539798259735,Trackpad,6,18
23,20.122005647550456,25.519455153783774,5.32117423844702,9.08656570481047,31.157445590290443,22.837332534790043,15.28496475219727,34.01063631922006,-52.73483772277832,56.34280853271484,Trackpad,7,23
18,21.87524964776304,16.435603174758846,3.873908819254377,13.702016473794291,30.048482821731792,21.359622836112976,9.748340797424316,29.02217499166727,-4.591098785400396,58.08625191450119,Trackpad,8,18
23,31.646222679317006,21.19673523090955,4.4198248265960585,22.480067006585863,40.81237835204815,31.332957458496093,12.459588241577146,42.827329254150385,7.019023132324219,81.47478513717651,Trackpad,10,23
23,26.19115270013395,33.37143229712618,6.958424651680605,11.760263219974098,40.6220421802938,20.380166435241694,9.831551504135131,32.75710699558258,-34.09551830291748,132.2570373535156,Trackpad,15,23
26,16.85502799339682,20.12057612605121,3.9459696265947786,8.728151419431342,24.9819045673623,14.912010192871096,6.506918525695804,31.66950216591358,-23.950027465820312,54.75919609069824,Trackpad,20,26
