ppid,clamp_magnitude,base_sd,n_baseline,pointer
313978052698,155,4.015963156740473,10,Trackpad
313978052698,165,6.350668350929562,10,Trackpad
314153794897,95,11.982909748046868,10,Mouse
314153794897,105,20.414669347957624,10,Mouse
314153794897,115,16.730973422735275,10,Mouse
314153794897,125,16.565749532730536,10,Mouse
314581190701,135,4.016692802353258,10,Trackpad
314581190701,145,3.2955679632829615,10,Trackpad
314581190701,155,5.099272018840824,10,Trackpad
314581190701,165,3.362127694467017,10,Trackpad
314751828555,3,6.373140981906497,10,Trackpad
314751828555,5,5.0783233111226185,10,Trackpad
314751828555,7,3.754766583853349,10,Trackpad
314751828555,10,6.278707180346649,10,Trackpad
31763185048,60,3.1460709991940377,10,Mouse
31763185048,70,3.5207160362337,10,Mouse
31763185048,80,4.872939099658604,10,Mouse
31763185048,90,3.134002502349934,10,Mouse
320314205950,55,19.385611834098423,10,Mouse
320314205950,65,23.855387685598995,10,Mouse
320314205950,75,22.290578072809485,10,Mouse
320314205950,85,12.685825355310595,10,Mouse
326018211431,2,6.95504194907834,10,Trackpad
326018211431,4,9.186983857129743,10,Trackpad
326018211431,6,5.9806627953692475,10,Trackpad
326018211431,8,6.605547549964376,10,Trackpad
326031055534,140,5.042371962022284,10,Mouse
326031055534,150,4.667568567205939,10,Mouse
326031055534,160,4.666926141758954,10,Mouse
326031055534,170,4.5405084441098715,10,Mouse
326328627765,20,9.324655640762632,10,Trackpad
326328627765,30,5.192352906405589,10,Trackpad
326328627765,40,8.479082106047773,10,Trackpad
326328627765,50,4.441984389002465,10,Trackpad
329580827848,55,9.956337114423588,10,Mouse
329580827848,65,12.352049680906116,10,Mouse
329580827848,75,11.955027045175724,10,Mouse
329580827848,85,8.044878853657671,10,Mouse
333479267545,135,8.3059557915705,10,Trackpad
333479267545,145,8.719333241982133,10,Trackpad
333479267545,155,8.463640052972421,10,Trackpad
333479267545,165,15.511689867663696,10,Trackpad
334186456864,100,6.069068265191572,10,Mouse
334186456864,110,8.142657726767462,10,Mouse
334186456864,120,6.64320854001701,10,Mouse
334186456864,130,7.042257255529093,10,Mouse
33616929547,135,6.653566312968707,10,Mouse
33616929547,145,10.399037202921384,10,Mouse
33616929547,155,12.02782684537835,10,Mouse
33616929547,165,4.71125502241333,10,Mouse
340447094989,3,45.769772790901726,10,Mouse
340447094989,5,9.156687579599533,10,Mouse
340447094989,7,10.60484456390089,10,Mouse
340447094989,10,13.398635220926318,10,Mouse
340899273753,140,7.298105098818552,10,Trackpad
340899273753,150,8.81474862774527,10,Trackpad
340899273753,160,7.276244621776655,10,Trackpad
340899273753,170,5.282916957749743,10,Trackpad
342998198233,20,8.971277978473498,10,Trackpad
