ppid,clamp_magnitude,group,value
60516332508,50,4,-3.7299346923828125
65172413131,50,4,-2.9530426025390626
68466946249,50,4,6.7265762329101575
86995724355,50,4,-1.7719329833984403
92512405244,50,4,0.468133544921875
112768063321,50,4,-0.6038970947265625
134751847945,50,4,-0.5163238525390625
156593167223,50,4,-8.39826169013977
204680910799,50,4,-4.052122497558594
211178143741,50,4,-15.510962677001952
211349502438,50,4,1.9214797973632827
219666297547,50,4,0.43410205841064453
230918759014,50,4,-2.028765869140625
312810119008,50,4,-2.8186930656433105
326328627765,50,4,0.9844894409179673
342998198233,50,4,0.04716796875
375371629837,50,4,0.27898349761962893
394487149082,50,4,-1.301647949218753
425971333170,50,4,-0.4710906982421875
432379164500,50,4,-1.8118865966796875
466315876226,50,4,1.5022506713867188
