ppid,clamp_magnitude,baseline_bias,pointer
572670224355,15,2.554132080078125,Mouse
572670224355,25,7.567447280883789,Mouse
572670224355,35,-15.351171874999997,Mouse
572670224355,45,-0.4049217224121097,Mouse
57334981393,55,-22.25882339477539,Mouse
57334981393,65,-12.863874816894537,Mouse
57334981393,75,-10.314749145507813,Mouse
57334981393,85,-6.99170379638672,Mouse
575425482820,20,9.80917205810547,Mouse
575425482820,30,-4.176577949523926,Mouse
575425482820,40,0.0855194091796875,Mouse
575425482820,50,5.927360534667964,Mouse
577084825607,15,6.082418823242182,Trackpad
577084825607,25,-1.3552101135253922,Trackpad
577084825607,35,-4.846578979492184,Trackpad
577084825607,45,-1.6490558624267577,Trackpad
577336943708,20,-8.06686782836914,Trackpad
577336943708,30,1.8857189178466798,Trackpad
577336943708,40,-6.110784912109361,Trackpad
577336943708,50,-2.302578735351557,Trackpad
587319151731,135,-1.407795715332031,Trackpad
587319151731,145,-3.803690719604493,Trackpad
587319151731,155,9.662774658203125,Trackpad
587319151731,165,-12.193072509765624,Trackpad
58796474477,2,1.185588073730469,Mouse
58796474477,4,-6.685522460937494,Mouse
58796474477,6,14.77947540283203,Mouse
58796474477,8,-20.38600311279297,Mouse
588954061502,95,-13.38060989379883,Mouse
588954061502,105,8.681982421874995,Mouse
588954061502,115,-23.500149536132813,Mouse
588954061502,125,13.98617057800293,Mouse
589106590719,140,-9.091223144531245,Trackpad
589106590719,150,-13.083729553222657,Trackpad
589106590719,160,3.718160057067871,Trackpad
589106590719,170,6.904206848144531,Trackpad
591787668410,15,4.844747924804693,Mouse
591787668410,25,12.807778930664051,Mouse
591787668410,35,-10.584134292602538,Mouse
591787668410,45,6.261143493652344,Mouse
593610742595,55,-3.8636047363281136,Mouse
593610742595,65,-3.454677200317385,Mouse
593610742595,75,-3.797149658203108,Mouse
593610742595,85,-2.1724403381347654,Mouse
594008709769,140,-4.835847473144526,Trackpad
594008709769,150,-2.2986587524414075,Trackpad
594008709769,160,6.486206436157227,Trackpad
594008709769,170,4.949087524414063,Trackpad
595595653867,2,-2.3193866729736348,Mouse
595595653867,4,1.868792724609375,Mouse
595595653867,6,7.671350860595707,Mouse
595595653867,8,7.553771972656259,Mouse
60516332508,20,8.472852325439453,Trackpad
60516332508,30,10.783454895019531,Trackpad
60516332508,40,14.243989562988281,Trackpad
60516332508,50,4.5423614501953065,Trackpad
606417353264,135,11.700477600097656,Trackpad
607190310023,3,1.5655700683593978,Mouse
607190310023,5,-0.24365692138671058,Mouse
607190310023,7,-1.7345939636230476,Mouse
607190310023,10,8.048732757568358,Mouse
607647950528,60,4.441110229492187,Trackpad
607647950528,70,-2.940827941894523,Trackpad
607647950528,80,-0.06621246337890767,Trackpad
607647950528,90,3.9641727447509774,Trackpad
608781518181,2,5.553963279724121,Trackpad
608781518181,4,10.600936889648438,Trackpad
608781518181,6,-8.021278381347653,Trackpad
608781518181,8,10.194677734375,Trackpad
609066119184,20,9.60150146484375,Trackpad
609066119184,30,11.384735107421875,Trackpad
609066119184,40,-5.971172714233397,Trackpad
609066119184,50,-7.546212768554691,Trackpad
610091723036,7,-19.533357334136962,Mouse
610091723036,10,2.089884662628177,Mouse
611182001186,135,-4.771566772460938,Mouse
611182001186,145,-2.4839080810546785,Mouse
611182001186,155,5.757532119750977,Mouse
611182001186,165,-5.6063995361328125,Mouse
616859448142,3,-13.744401550292967,Mouse
616859448142,5,11.120050048828123,Mouse
616859448142,7,14.432050704956055,Mouse
616859448142,10,-16.756895446777342,Mouse
618976041208,55,-10.558477783203124,Mouse
618976041208,65,-2.8117233276367246,Mouse
618976041208,75,-0.7280895233154295,Mouse
618976041208,85,-5.14498901367188,Mouse
6196976173,140,2.618225860595703,Trackpad
6196976173,150,-13.205593872070315,Trackpad
6196976173,160,4.407505798339844,Trackpad
6196976173,170,2.6294677734374945,Trackpad
621998446062,95,3.340322494506836,Trackpad
621998446062,105,-13.042725944519043,Trackpad
621998446062,115,11.112042236328108,Trackpad
621998446062,125,-11.486163330078123,Trackpad
624015980400,15,6.673136901855483,Trackpad
624015980400,25,-12.768048095703113,Trackpad
624015980400,35,-8.387754821777344,Trackpad
624015980400,45,19.14647331237793,Trackpad
624326525488,95,-9.045314025878909,Trackpad
624326525488,105,2.5898666381835938,Trackpad
624326525488,115,14.725098037719727,Trackpad
624326525488,125,0.852740478515625,Trackpad
