index,ppid,clamp_magnitude,group,pointer,value,n_trials
365,299489942844,4,1,Mouse,10.238331992041257,10
525,376660312758,4,1,Mouse,4.392335789818715,10
545,385475812479,4,1,Mouse,15.424470975959853,10
653,441084582125,4,1,Mouse,11.082746913664188,10
721,475080016767,4,1,Mouse,9.728783847808991,10
737,478867326164,4,1,Mouse,19.95870150834671,10
921,542684882646,4,1,Mouse,31.032618256423525,10
961,557130941888,4,1,Mouse,5.232472100470101,10
1021,58796474477,4,1,Mouse,13.67546067367205,10
1045,595595653867,4,1,Mouse,13.664897341848532,10
1149,645686800824,4,1,Mouse,17.86149098612563,10
1197,666880505392,4,1,Mouse,7.015378060196654,10
1209,668861049227,4,1,Mouse,7.727465006418583,10
1217,671348925214,4,1,Mouse,5.347837028318243,10
1277,701099609956,4,1,Mouse,45.074282829002385,10
1309,712406286736,4,1,Mouse,31.570295652310158,10
1361,737828750163,4,1,Mouse,17.81936938738316,10
1413,754786406643,4,1,Mouse,7.24577929188958,10
1441,761518668150,4,1,Mouse,21.785169344023963,10
1521,803522135131,4,1,Mouse,8.480387198092409,10
1569,822205019881,4,1,Mouse,4.166674665330671,10
1861,945346587337,4,1,Mouse,9.054859713807437,10
1889,968425765400,4,1,Mouse,14.68134118644813,10
1925,996553590521,4,1,Mouse,9.583551280400615,10
241,244346351129,5,2,Mouse,34.17412274696243,10
337,286533593898,5,2,Mouse,22.85845892837674,10
377,307390059111,5,2,Mouse,12.497195560437252,10
445,340447094989,5,2,Mouse,6.481581604950825,10
485,363396258093,5,2,Mouse,43.96926492675754,10
509,372881010640,5,2,Mouse,7.344377445989002,10
621,424813729943,5,2,Mouse,13.320022983553832,10
669,450325436890,5,2,Mouse,33.72862300351586,10
677,453578034881,5,2,Mouse,16.61632934337943,10
765,485655207419,5,2,Mouse,11.358084445549164,10
813,499781516147,5,2,Mouse,25.853428382894776,10
837,514699809951,5,2,Mouse,14.706373959193135,10
865,524084624601,5,2,Mouse,16.139876202427306,10
877,526591815054,5,2,Mouse,9.00997323740018,10
989,568911038571,5,2,Mouse,54.3361778057918,10
993,571510386420,5,2,Mouse,6.302851163312711,10
1057,607190310023,5,2,Mouse,5.847235537097688,10
1073,610091723036,5,2,Mouse,16.925992245214648,10
1081,616859448142,5,2,Mouse,35.44373417148252,10
1185,662896639900,5,2,Mouse,11.813349905181603,10
1193,665972822112,5,2,Mouse,15.038976467689116,10
1445,764955634018,5,2,Mouse,7.099731252746072,10
1469,781632843660,5,2,Mouse,49.07503454326465,10
1557,818668159889,5,2,Mouse,3.090607902162809,10
1725,881636635866,5,2,Mouse,76.9612120474023,10
1817,928185260389,5,2,Mouse,7.038363961748116,10
26,123183469520,6,1,Mouse,9.427402076259185,10
30,12978613609,6,1,Mouse,10.249568636740506,10
102,163796231616,6,1,Mouse,63.06756114898711,10
246,244418469024,6,1,Mouse,12.999503736372889,10
298,263992263004,6,1,Mouse,17.077060088751722,10
306,266126640839,6,1,Mouse,9.844121655948339,10
366,299489942844,6,1,Mouse,11.125980796700812,10
526,376660312758,6,1,Mouse,3.1527013814070846,10
546,385475812479,6,1,Mouse,90.74580479454296,10
654,441084582125,6,1,Mouse,11.048716869757236,10
722,475080016767,6,1,Mouse,5.056208804775135,10
738,478867326164,6,1,Mouse,12.18964382727511,10
922,542684882646,6,1,Mouse,13.937587017462862,10
962,557130941888,6,1,Mouse,6.969264720618136,10
1022,58796474477,6,1,Mouse,13.592586719618419,10
1046,595595653867,6,1,Mouse,41.40028912693298,10
1150,645686800824,6,1,Mouse,14.010117434405098,10
1198,666880505392,6,1,Mouse,9.027354408092274,10
1210,668861049227,6,1,Mouse,8.471531125149214,10
1218,671348925214,6,1,Mouse,4.752452456256629,10
1278,701099609956,6,1,Mouse,40.02545728534227,10
1310,712406286736,6,1,Mouse,41.55736810738312,10
1362,737828750163,6,1,Mouse,9.623975145657221,10
1414,754786406643,6,1,Mouse,10.685484801567819,10
1442,761518668150,6,1,Mouse,20.026616223548356,10
1522,803522135131,6,1,Mouse,6.052723724617456,10
1570,822205019881,6,1,Mouse,3.8821813125705997,10
1862,945346587337,6,1,Mouse,9.219562487220383,10
1890,968425765400,6,1,Mouse,17.37533163478302,10
1926,996553590521,6,1,Mouse,15.195550447522201,10
242,244346351129,7,2,Mouse,28.126141498005254,10
338,286533593898,7,2,Mouse,12.673685844234987,10
378,307390059111,7,2,Mouse,10.261537601709442,10
446,340447094989,7,2,Mouse,9.166141453689093,10
486,363396258093,7,2,Mouse,12.578133477470749,10
510,372881010640,7,2,Mouse,7.213215918508461,10
622,424813729943,7,2,Mouse,13.133113096515666,10
670,450325436890,7,2,Mouse,13.194979055605986,10
678,453578034881,7,2,Mouse,11.669201621369604,10
766,485655207419,7,2,Mouse,10.009726908192281,10
814,499781516147,7,2,Mouse,8.54980866094478,10
838,514699809951,7,2,Mouse,8.35552127152924,10
866,524084624601,7,2,Mouse,86.01800362317441,10
878,526591815054,7,2,Mouse,2.7695694726252054,10
990,568911038571,7,2,Mouse,27.318994279956875,10
994,571510386420,7,2,Mouse,3.854533482611054,10
1058,607190310023,7,2,Mouse,14.280906900175477,10
1074,610091723036,7,2,Mouse,10.614010884416283,10
1082,616859448142,7,2,Mouse,15.082129913928812,10
1186,662896639900,7,2,Mouse,7.943941231754851,10
1194,665972822112,7,2,Mouse,30.87352250476865,10
1446,764955634018,7,2,Mouse,14.409018581634001,10
1470,781632843660,7,2,Mouse,34.3574148340194,10
1558,818668159889,7,2,Mouse,6.54907891822059,10
1726,881636635866,7,2,Mouse,61.009561707752034,10
1818,928185260389,7,2,Mouse,5.920597876951527,10
27,123183469520,8,1,Mouse,8.879891767031413,10
31,12978613609,8,1,Mouse,13.400101972317007,10
103,163796231616,8,1,Mouse,52.995930758445155,10
247,244418469024,8,1,Mouse,22.975875133436418,10
299,263992263004,8,1,Mouse,23.491300113299708,10
307,266126640839,8,1,Mouse,4.970876119633257,10
367,299489942844,8,1,Mouse,18.93878935227391,10
527,376660312758,8,1,Mouse,5.4668610321810895,10
547,385475812479,8,1,Mouse,74.71641136423607,10
655,441084582125,8,1,Mouse,17.501411407781973,10
723,475080016767,8,1,Mouse,5.1578470421446685,10
739,478867326164,8,1,Mouse,8.484069112405933,10
923,542684882646,8,1,Mouse,61.70402835759136,10
963,557130941888,8,1,Mouse,6.732036202847724,10
1023,58796474477,8,1,Mouse,14.30987384544537,10
1047,595595653867,8,1,Mouse,69.58311748441456,10
1151,645686800824,8,1,Mouse,11.49548322970289,10
1199,666880505392,8,1,Mouse,12.571248204614,10
1211,668861049227,8,1,Mouse,6.066678257879493,10
1219,671348925214,8,1,Mouse,8.73848964526224,10
1279,701099609956,8,1,Mouse,83.07918513164104,10
1311,712406286736,8,1,Mouse,43.000209194542116,10
1363,737828750163,8,1,Mouse,12.379450638491189,10
1415,754786406643,8,1,Mouse,8.503628404646701,10
1443,761518668150,8,1,Mouse,20.242958274606558,10
1523,803522135131,8,1,Mouse,6.169805373538206,10
