measure,phase,clamp_magnitude,n_participants,phase_center_median,mean,mean_ci_low,mean_ci_high,sd,sd_ci_low,sd_ci_high,median,q25,q75,mean_abs_dev,mean_abs_dev_ci_low,mean_abs_dev_ci_high,median_abs_dev
Between-participant spread of mean hand angle,Late adaptation,110,48,14.597502040863038,14.748266404370469,7.70093826350278,21.795594545238156,24.27018855421314,11.913894896326306,37.00484410849913,14.597502040863038,4.6672416687011715,21.261684465408326,13.82129030575355,8.057814847158586,19.584765764348514,8.699135303497314
Between-participant spread of mean hand angle,Baseline,115,49,-0.6632751464843807,-3.017047664097377,-13.180638906249907,7.146543578055154,35.384416998307984,7.449509368565403,54.19402859467127,-0.6632751464843807,-2.6899688720703123,1.3888946533203126,11.401995460354554,1.7678953864052147,21.036095534303893,2.0521697998046933
Between-participant spread of mean hand angle,Late adaptation,115,49,6.501153564453119,10.087045698749776,2.166897635765987,18.007193761733564,27.573897362838643,12.31529441338255,41.19865972306543,6.501153564453119,-0.6425300598144537,18.345634460449222,15.306222197474266,8.666931945627503,21.94551244932103,9.881414413452143
Between-participant spread of mean hand angle,Baseline,120,48,-0.052369689941414804,-1.9600215911865249,-9.398208758425259,5.478165576052208,25.616262141042522,4.485660179637075,39.297835486957375,-0.052369689941414804,-3.2357772827148454,2.1441429138183623,9.221939086914062,2.270898655577689,16.172979518250436,2.7754959106445316
Between-participant spread of mean hand angle,Late adaptation,120,48,13.223582229018216,14.570824900642037,6.87815021184875,22.263499589435327,26.492687930982104,12.665334893755485,39.883550717444905,13.223582229018216,6.2128031253814635,21.631392526626588,14.417467843865353,7.980486353977775,20.85444933375293,8.164318981766696
Between-participant spread of mean hand angle,Baseline,125,49,-0.8429138183593807,-3.441475122802112,-9.383622007007052,2.5006717614028275,20.68751076330905,6.598423530632606,30.458120854249994,-0.8429138183593807,-3.957234954833985,3.0954208374023464,8.929424202198884,3.5292003722760574,14.32964803212171,3.9254989624023366
Between-participant spread of mean hand angle,Late adaptation,125,49,3.006770515441894,6.338230535828945,-1.8685282445202809,14.544989316178171,28.57172902468093,15.457956152949961,40.632637073122204,3.006770515441894,-3.8573448181152417,15.874029159545897,17.16478976316902,10.571510418747009,23.758069107591027,11.947062492370602
Between-participant spread of mean hand angle,Baseline,130,48,0.2155979156494054,-4.162666962047417,-11.162462000675802,2.837128076580968,24.106490010473618,4.43933443157053,39.902835644693546,0.2155979156494054,-3.3829971313476475,2.818647766113283,7.797533172865708,1.0586732109973278,14.536393134734087,2.8326461791992052
Between-participant spread of mean hand angle,Late adaptation,130,48,-1.055142402648928,6.313610193754236,-1.4290936810128567,14.05631406852133,26.66498270036524,13.05310196427439,40.44402625205817,-1.055142402648928,-7.3981974363327,14.550564861297607,15.621905368193984,9.018060363456463,22.225750372931504,10.711142921447756
Between-participant spread of mean hand angle,Baseline,135,48,0.6064151763916023,-0.7723988691965733,-2.6774308961908337,1.132633157797687,6.560711460112725,4.044463789957464,8.785761954644919,0.6064151763916023,-3.2912902832031268,2.4869823455810547,4.19814658164978,2.689757855252695,5.706535308046865,2.431946945190429
