ppid,clamp_magnitude,raw_signed_baseline_bias,signed_clamp_angle,target_clamp_sign,pointer
698323606979,60,2.1261871337890623,60.0,1,Mouse
698323606979,70,6.416851043701172,70.0,1,Mouse
698323606979,80,-3.912220001220703,80.0,1,Mouse
698323606979,90,3.870208740234361,90.0,1,Mouse
701099609956,2,-16.106213378906254,2.0,1,Mouse
701099609956,4,-5.9194305419921935,4.0,1,Mouse
701099609956,6,-13.674684143066411,6.0,1,Mouse
701099609956,8,-12.733524131774901,8.0,1,Mouse
70501195034,60,12.415707397460935,-60.0,-1,Mouse
70501195034,70,2.2734710693359377,-70.0,-1,Mouse
70501195034,80,-1.4258705139160142,-80.0,-1,Mouse
70501195034,90,-2.576830101013182,-90.0,-1,Mouse
706570674898,3,-2.8956295013427726,3.0,1,Trackpad
706570674898,5,16.143832397460937,5.0,1,Trackpad
706570674898,7,-12.301676940917975,7.0,1,Trackpad
706570674898,10,0.9440017700195298,10.0,1,Trackpad
707165035419,95,-17.107694339752197,95.0,1,Trackpad
707165035419,105,-0.7525212287902825,105.0,1,Trackpad
707165035419,115,-2.0665987968444886,115.0,1,Trackpad
707165035419,125,27.878032410144804,125.0,1,Trackpad
708731377264,100,8.941456604003912,100.0,1,Mouse
708731377264,110,-3.7531585693359375,110.0,1,Mouse
708731377264,120,-10.77301025390625,120.0,1,Mouse
708731377264,130,-4.561859130859377,130.0,1,Mouse
709011816186,95,0.8802810668945227,95.0,1,Trackpad
709011816186,105,2.7427856445312444,105.0,1,Trackpad
709011816186,115,0.0882946014404288,115.0,1,Trackpad
709011816186,125,-1.0173706054687488,125.0,1,Trackpad
710075415438,95,-11.36303882598877,95.0,1,Trackpad
710075415438,105,-15.057229614257803,105.0,1,Trackpad
710075415438,115,2.737593078613281,115.0,1,Trackpad
710075415438,125,10.713070678710938,125.0,1,Trackpad
711049351608,3,-9.618780517578125,3.0,1,Trackpad
711049351608,5,-12.680378723144537,5.0,1,Trackpad
711049351608,7,6.037258911132807,7.0,1,Trackpad
711049351608,10,-9.510519218444825,10.0,1,Trackpad
712406286736,2,2.7498718261718693,-2.0,-1,Mouse
712406286736,4,-15.765164947509763,-4.0,-1,Mouse
712406286736,6,4.600647735595703,-6.0,-1,Mouse
712406286736,8,-10.569761657714858,-8.0,-1,Mouse
712610918562,60,-0.1740570068359432,-60.0,-1,Mouse
712610918562,70,8.13649253845215,-70.0,-1,Mouse
712610918562,80,10.73318481445312,-80.0,-1,Mouse
712610918562,90,-12.015428924560545,-90.0,-1,Mouse
713283016113,140,-26.45971069335938,140.0,1,Mouse
713283016113,150,-3.9928054809570312,150.0,1,Mouse
713283016113,160,-13.057764434814453,160.0,1,Mouse
713283016113,170,-14.625536346435547,170.0,1,Mouse
71419700048,2,-8.485479736328125,-2.0,-1,Trackpad
71419700048,4,6.824917984008789,-4.0,-1,Trackpad
71419700048,6,-20.653295898437506,-6.0,-1,Trackpad
71419700048,8,-3.107116699218751,-8.0,-1,Trackpad
716171277686,55,0.05474700927734379,55.0,1,Trackpad
716171277686,65,6.150238037109375,65.0,1,Trackpad
716171277686,75,-0.07860107421874854,75.0,1,Trackpad
