break_length,check_movement_timeout,clamp_angle,clamp_angle_relative,clamped,completion_code,cursor_properties,cursor_scale,cursor_stationary_wait,cursor_style,cursor_visibility,experiment_type,group,mouse_sensitivity,movement_timeout,n_break,n_repetitions,play_audio_feedback,ppid_session_dataname,progress_in_break,return_hand_wait,show_endpoint_feedback,show_score,show_text_feedback,target_circle_radius,target_scale,token_id
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,2,0.011516774073243141,"[0.0, 0.30000001192092896]",3,240,Full,669404158834_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,143
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,4,0.009259269572794437,"[0.0, 0.30000001192092896]",3,240,Full,205160485114_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,231
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,9,0.004761904012411833,"[0.0, 0.30000001192092896]",3,240,Full,749603402102_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,452
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,1,0.005771188531070948,"[0.0, 0.30000001192092896]",3,240,Full,711049351608_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,67
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,3,0.005555552896112204,"[0.0, 0.30000001192092896]",3,240,Full,660965892719_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,191
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,1,0.013020878657698631,"[0.0, 0.30000001192092896]",3,240,Full,499781516147_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,83
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,7,0.009259323589503765,"[0.0, 0.30000001192092896]",3,240,Full,108424307545_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,350
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,6,0.00925927609205246,"[0.0, 0.30000001192092896]",3,240,Full,915339582134_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,301
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,1,0.013020814396440983,"[0.0, 0.30000001192092896]",3,240,Full,568911038571_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,75
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,4,0.009262905456125736,"[0.0, 0.30000001192092896]",3,240,Full,994898098986_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,210
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,0,0.009815721772611141,"[0.0, 0.30000001192092896]",3,240,Full,803522135131_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,27
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,9,0.0065306080505251884,"[0.0, 0.30000001192092896]",3,240,Full,114463583799_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,446
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,3,0.004761904012411833,"[0.0, 0.30000001192092896]",3,240,Full,609066119184_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,184
,,,,,77E7D184,,,,,,prolific,,0.009259277023375034,,,,,311455185525_s001_settings,,,,,,,,219
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,8,0.0073447334580123425,"[0.0, 0.30000001192092896]",3,240,Full,672964076977_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,411
