age,browser_version,computer,consent_time,gender,hand,height_px,monitor,pointer,ppid_session_dataname,px_ratio,width_px
39.0,"Chrome, 117",Laptop,10/13/2023 1:10:07 PM,Male,Right,912,Laptop Monitor,Mouse,285770176909_s001_participant_details,1,1366
32.0,"Firefox, 118",Desktop,10/12/2023 8:45:37 AM,Male,Right,1080,External Monitor,Mouse,915339582134_s001_participant_details,1,1920
40.0,"Firefox, 118",Laptop,10/12/2023 1:53:14 PM,Female,Right,864,Laptop Monitor,Trackpad,496473497245_s001_participant_details,1.25,1536
44.0,"Chrome, 117",Laptop,10/12/2023 1:41:45 PM,Female,Right,720,Laptop Monitor,Trackpad,804262401536_s001_participant_details,1.5,1280
43.0,"Chrome, 117",Desktop,10/13/2023 1:01:15 PM,Male,Right,1440,External Monitor,Mouse,115921796998_s001_participant_details,1.5,2560
59.0,"Chrome, 103",Laptop,10/13/2023 1:02:13 PM,Female,Right,900,Laptop Monitor,Trackpad,366977208759_s001_participant_details,1,1440
35.0,"Chrome, 117",Laptop,10/12/2023 2:20:19 PM,Male,Right,768,Laptop Monitor,Mouse,610091723036_s001_participant_details,1,1366
61.0,"Chrome, 117",Laptop,10/13/2023 1:03:04 PM,Male,Right,864,Laptop Monitor,Mouse,277495261980_s001_participant_details,1.25,1536
57.0,"Chrome, 117",Laptop,10/13/2023 1:04:25 PM,Female,Left,864,Laptop Monitor,Trackpad,543766975635_s001_participant_details,1.25,1536
67.0,"Chrome, 117",Desktop,10/12/2023 1:38:51 PM,Female,Right,900,External Monitor,Mouse,412116680061_s001_participant_details,1,1440
28.0,"Firefox, 118",Laptop,10/18/2023 1:02:59 PM,Male,Right,1080,External Monitor,Mouse,482947064097_s001_participant_details,1,1920
31.0,"Firefox, 115",Laptop,10/12/2023 1:42:17 PM,Female,Right,1050,Laptop Monitor,Trackpad,379667443456_s001_participant_details,2,1680
35.0,"Chrome, 117",Laptop,10/12/2023 1:47:26 PM,Male,Right,1080,Laptop Monitor,Trackpad,853101398795_s001_participant_details,1,1920
19.0,"Chrome, 118",Laptop,10/13/2023 1:04:38 PM,Female,Right,864,Laptop Monitor,Mouse,132102677831_s001_participant_details,1.25,1536
31.0,"Chrome, 118",Laptop,10/13/2023 1:03:22 PM,Female,Right,864,Laptop Monitor,Mouse,67981741856_s001_participant_details,1.25,1536
44.0,"Chrome, 117",Laptop,10/13/2023 1:06:12 PM,Female,Right,800,Laptop Monitor,Trackpad,726770222419_s001_participant_details,2,1280
36.0,"Chrome, 117",Laptop,10/13/2023 1:07:36 PM,Female,Right,900,Laptop Monitor,Trackpad,994716872461_s001_participant_details,2,1600
23.0,"Chrome, 117",Laptop,10/12/2023 8:55:22 AM,Female,Right,900,Laptop Monitor,Trackpad,667250633006_s001_participant_details,2,1440
41.0,"Chrome, 114",Laptop,10/13/2023 1:04:55 PM,Female,Right,900,Laptop Monitor,Trackpad,435751852346_s001_participant_details,1,1440
62.0,"Chrome, 118",Laptop,10/13/2023 1:07:02 PM,Male,Left,768,Laptop Monitor,Mouse,52190313348_s001_participant_details,1,1366
48.0,"Chrome, 117",Laptop,10/13/2023 1:05:13 PM,Female,Right,864,Laptop Monitor,Mouse,611182001186_s001_participant_details,1.25,1536
21.0,"Chrome, 110",Laptop,10/12/2023 1:31:33 PM,Male,Right,768,Laptop Monitor,Mouse,426775530911_s001_participant_details,1,1366
27.0,"Chrome, 117",Desktop,10/13/2023 1:04:23 PM,Male,Right,1080,External Monitor,Mouse,416004814207_s001_participant_details,1,1920
