group,perturbSize,sub,trialType,cycleNum,handangle
1,2,7,0,6,-3.23720466349083
1,2,7,0,7,-0.18764560745482
1,2,7,0,8,-2.40096743798068
1,2,7,0,9,-4.67603200314937
1,2,7,0,10,-3.73153203292841
1,2,7,0,11,3.17474961409061
1,2,7,0,12,-0.105711891247157
1,2,7,0,13,0.137222319303593
1,2,7,0,14,-6.60679266825532
1,2,7,0,15,-1.38512115462616
1,2,7,0,16,-1.63406539541859
1,2,7,0,17,-5.87603114152532
1,2,7,0,18,-1.76765062859047
1,2,7,0,19,-0.602704167107813
1,2,7,0,20,-2.75875917470209
1,2,7,0,21,-3.36798631189707
1,2,7,0,22,3.0719291911477
1,2,7,0,23,-0.200878295787287
1,2,7,0,24,4.52238195636767
1,2,7,0,25,1.25129973629816
1,2,7,0,26,1.0404814513886
1,2,7,0,27,-1.66726459706609
1,2,7,0,28,3.47485800387168
1,2,7,0,29,0.607298705520381
1,2,7,0,30,-0.052608148979485
1,2,7,1,31,-0.423582162107836
1,2,7,1,32,2.38903117704817
1,2,7,1,33,1.18215401688954
1,2,7,1,34,1.15572269460696
1,2,7,1,35,1.47240261413324
1,2,7,1,36,0.584977054105119
1,2,7,1,37,1.76776380446464
1,2,7,1,38,2.49865771100591
1,2,7,1,39,-0.41893475611203
1,2,7,1,40,6.62497488456787
1,2,7,1,41,4.80653642673243
1,2,7,1,42,4.3870302867609
1,2,7,1,43,10.4800172406544
